iter	Passed	Remaining
0	0	931
1	1	822
2	2	783
3	3	792
4	3	770
5	4	759
6	5	747
7	5	734
8	6	721
9	7	739
10	8	728
11	8	719
12	9	713
13	10	745
14	11	740
15	11	735
16	12	733
17	13	736
18	14	732
19	14	732
20	15	730
21	16	735
22	17	733
23	17	730
24	18	725
25	19	731
26	20	728
27	20	722
28	21	721
29	22	731
30	23	724
31	23	723
32	24	725
33	25	721
34	25	716
35	27	728
36	27	728
37	28	724
38	29	727
39	30	729
40	30	723
41	31	718
42	32	726
43	33	723
44	33	719
45	35	731
46	35	729
47	36	727
48	37	724
49	38	727
50	39	726
51	39	722
52	40	724
53	41	726
54	42	725
55	42	721
56	43	718
57	44	724
58	45	725
59	46	721
60	46	718
61	47	719
62	48	718
63	48	715
64	50	722
65	50	721
66	51	717
67	52	714
68	52	711
69	53	714
70	54	712
71	55	711
72	55	710
73	56	708
74	57	706
75	58	706
76	58	704
77	59	701
78	60	699
79	60	699
80	61	698
81	62	694
82	62	689
83	62	685
84	63	682
85	63	680
86	64	678
87	65	675
88	65	672
89	66	669
90	66	667
91	67	666
92	68	664
93	68	661
94	69	659
95	69	656
96	70	653
97	70	651
98	71	649
99	71	647
100	72	644
101	73	642
102	73	641
103	74	640
104	74	638
105	75	636
106	75	634
107	76	632
108	77	631
109	77	628
110	78	626
111	78	624
112	79	623
113	80	622
114	80	621
115	81	619
116	81	616
117	82	614
118	82	612
119	83	610
120	83	609
121	84	606
122	84	604
123	85	603
124	86	602
125	86	602
126	87	600
127	88	599
128	88	598
129	89	599
130	90	598
131	90	597
132	91	595
133	92	595
134	92	595
135	93	594
136	94	592
137	94	590
138	95	588
139	95	586
140	96	585
141	96	583
142	97	582
143	97	580
144	98	579
145	98	577
146	99	579
147	100	577
148	100	576
149	101	574
150	101	573
151	102	571
152	103	570
153	103	569
154	104	567
155	105	569
156	105	568
157	106	567
158	106	565
159	107	564
160	107	561
161	108	560
162	108	559
163	109	558
164	110	557
165	110	555
166	111	554
167	111	554
168	112	553
169	113	552
170	113	550
171	114	549
172	114	548
173	115	547
174	115	546
175	116	544
176	116	543
177	117	542
178	118	541
179	119	542
180	119	542
181	120	541
182	121	541
183	121	540
184	122	539
185	123	538
186	123	538
187	124	539
188	125	539
189	126	538
190	126	537
191	127	537
192	128	536
193	129	536
194	129	536
195	130	535
196	131	535
197	131	534
198	132	533
199	133	532
200	133	531
201	134	530
202	135	530
203	135	529
204	136	529
205	137	528
206	138	528
207	138	528
208	139	527
209	139	526
210	140	525
211	141	525
212	142	524
213	142	523
214	143	524
215	144	525
216	145	524
217	146	524
218	146	524
219	147	523
220	148	522
221	148	522
222	149	521
223	150	521
224	151	522
225	152	521
226	152	520
227	153	520
228	154	520
229	155	520
230	156	519
231	157	521
232	158	520
233	158	519
234	159	518
235	160	518
236	160	517
237	161	516
238	161	515
239	163	517
240	163	516
241	164	515
242	165	514
243	166	515
244	166	514
245	167	512
246	167	511
247	168	511
248	169	510
249	170	510
250	170	509
251	171	508
252	171	507
253	172	506
254	173	505
255	173	504
256	174	503
257	174	503
258	176	504
259	176	503
260	177	502
261	178	502
262	178	501
263	179	500
264	180	499
265	181	499
266	181	498
267	182	497
268	183	498
269	184	497
270	184	496
271	185	495
272	185	494
273	186	493
274	186	492
275	187	491
276	188	490
277	189	491
278	189	490
279	190	489
280	191	488
281	191	488
282	192	487
283	193	486
284	193	485
285	194	484
286	195	486
287	196	485
288	196	484
289	197	483
290	198	482
291	198	481
292	199	480
293	199	479
294	200	479
295	201	479
296	202	478
297	202	477
298	203	476
299	203	475
300	204	475
301	205	473
302	205	472
303	206	472
304	207	471
305	207	471
306	208	470
307	209	469
308	209	468
309	210	467
310	210	466
311	211	466
312	211	465
313	212	464
314	213	463
315	213	462
316	214	462
317	215	461
318	215	460
319	216	460
320	217	459
321	217	458
322	218	457
323	218	456
324	219	456
325	220	455
326	221	455
327	221	454
328	222	453
329	222	452
330	223	451
331	223	450
332	224	449
333	225	449
334	226	448
335	226	447
336	227	447
337	228	446
338	228	445
339	229	444
340	229	443
341	230	442
342	230	441
343	231	441
344	232	440
345	233	440
346	233	439
347	234	438
348	234	437
349	235	437
350	235	436
351	236	435
352	236	434
353	237	433
354	238	432
355	238	432
356	240	432
357	240	431
358	241	430
359	241	429
360	242	428
361	242	427
362	243	426
363	244	426
364	244	425
365	245	425
366	246	424
367	246	423
368	247	423
369	248	422
370	248	421
371	249	420
372	249	419
373	250	419
374	251	418
375	251	418
376	252	417
377	253	416
378	253	415
379	254	414
380	254	414
381	255	413
382	256	412
383	256	411
384	257	410
385	258	410
386	259	410
387	259	409
388	260	408
389	260	407
390	261	406
391	261	406
392	262	405
393	262	404
394	263	403
395	264	403
396	265	402
397	265	402
398	266	401
399	266	400
400	267	399
401	268	398
402	268	397
403	269	397
404	269	396
405	270	396
406	271	395
407	271	394
408	272	393
409	273	393
410	273	392
411	274	391
412	274	390
413	275	389
414	275	389
415	276	388
416	277	388
417	278	387
418	278	386
419	279	385
420	279	384
421	280	384
422	281	383
423	281	382
424	282	382
425	283	381
426	284	381
427	285	380
428	285	380
429	286	379
430	286	378
431	287	377
432	287	376
433	288	376
434	288	375
435	289	374
436	290	374
437	291	373
438	291	372
439	292	371
440	292	370
441	293	370
442	294	369
443	294	368
444	295	368
445	296	367
446	297	367
447	297	366
448	298	365
449	298	365
450	299	364
451	299	363
452	300	362
453	300	361
454	301	361
455	302	360
456	303	360
457	303	359
458	304	358
459	304	357
460	305	357
461	305	356
462	306	355
463	307	354
464	307	354
465	308	353
466	309	353
467	310	352
468	310	351
469	311	351
470	312	351
471	313	350
472	314	350
473	315	349
474	316	349
475	316	348
476	317	348
477	318	347
478	318	346
479	319	345
480	319	345
481	320	344
482	321	344
483	322	343
484	322	342
485	323	342
486	323	341
487	324	340
488	325	339
489	325	338
490	326	338
491	326	337
492	327	336
493	328	336
494	329	335
495	329	335
496	330	334
497	330	333
498	331	332
499	331	331
500	332	331
501	333	330
502	333	329
503	334	329
504	335	328
505	335	327
506	336	327
507	337	326
508	337	325
509	338	324
510	338	324
511	339	323
512	340	323
513	341	322
514	341	321
515	342	321
516	342	320
517	343	319
518	344	319
519	344	318
520	345	317
521	345	316
522	346	316
523	347	316
524	348	315
525	348	314
526	349	313
527	349	312
528	350	312
529	351	311
530	351	310
531	352	309
532	353	309
533	353	308
534	354	308
535	355	307
536	355	306
537	356	305
538	356	305
539	357	304
540	358	303
541	359	303
542	359	302
543	360	302
544	361	301
545	361	300
546	362	300
547	362	299
548	363	298
549	363	297
550	364	297
551	365	296
552	366	296
553	366	295
554	367	294
555	367	293
556	368	293
557	369	292
558	369	291
559	370	290
560	370	290
561	371	289
562	372	289
563	373	288
564	373	287
565	374	286
566	374	286
567	375	285
568	376	284
569	376	284
570	377	283
571	378	283
572	379	282
573	379	281
574	380	281
575	380	280
576	381	279
577	381	278
578	382	278
579	383	277
580	384	276
581	384	276
582	385	275
583	386	275
584	386	274
585	387	273
586	387	272
587	388	272
588	388	271
589	389	270
590	390	270
591	390	269
592	391	268
593	392	268
594	392	267
595	393	266
596	394	266
597	394	265
598	395	264
599	395	263
600	396	263
601	397	262
602	398	262
603	398	261
604	399	260
605	400	260
606	400	259
607	401	258
608	401	257
609	402	257
610	403	256
611	403	256
612	404	255
613	405	254
614	405	254
615	406	253
616	406	252
617	407	251
618	408	251
619	408	250
620	409	249
621	410	249
622	411	248
623	411	248
624	412	247
625	412	246
626	413	245
627	414	245
628	414	244
629	415	243
630	416	243
631	417	242
632	417	242
633	418	241
634	419	240
